iter	Passed	Remaining
242	4184	13037
243	4198	13009
244	4215	12991
245	4237	12989
246	4253	12968
247	4269	12945
248	4287	12931
249	4304	12914
250	4323	12900
251	4339	12880
252	4358	12868
253	4377	12857
254	4397	12848
255	4414	12829
256	4433	12816
257	4450	12798
258	4466	12779
259	4484	12764
260	4497	12734
261	4510	12704
262	4523	12677
263	4539	12655
264	4554	12631
265	4568	12605
266	4586	12590
267	4602	12571
268	4619	12553
269	4639	12542
270	4654	12521
271	4673	12509
272	4690	12491
273	4705	12469
274	4722	12449
275	4739	12433
276	4755	12412
277	4772	12394
278	4789	12376
279	4804	12355
280	4823	12342
281	4841	12326
282	4868	12335
283	4890	12328
284	4906	12309
285	4922	12288
286	4936	12264
287	4950	12238
288	4964	12213
289	4984	12203
290	5000	12184
291	5018	12167
292	5035	12150
293	5052	12132
294	5068	12114
295	5083	12090
296	5102	12078
297	5121	12064
298	5138	12046
299	5154	12026
300	5168	12003
301	5183	11979
302	5203	11969
303	5225	11964
304	5249	11961
305	5271	11956
306	5298	11960
307	5318	11948
308	5334	11929
309	5350	11909
310	5367	11891
311	5381	11866
312	5398	11849
313	5413	11826
314	5430	11809
315	5447	11791
316	5463	11772
317	5482	11757
318	5499	11741
319	5513	11716
320	5530	11698
321	5546	11679
322	5562	11659
323	5578	11638
324	5594	11618
325	5611	11601
326	5627	11581
327	5644	11564
328	5660	11544
329	5676	11525
330	5693	11507
331	5717	11503
332	5733	11483
333	5750	11465
334	5770	11455
335	5791	11445
336	5809	11430
337	5828	11416
338	5847	11401
339	5867	11389
340	5884	11371
341	5901	11354
342	5918	11336
343	5940	11327
344	5959	11314
345	5985	11313
346	6001	11293
347	6017	11274
348	6034	11255
349	6051	11239
350	6069	11221
351	6086	11204
352	6105	11190
353	6125	11178
354	6140	11156
355	6157	11139
356	6174	11121
357	6190	11100
358	6205	11080
359	6220	11059
360	6236	11038
361	6254	11022
362	6286	11032
363	6302	11011
364	6319	10993
365	6336	10976
366	6355	10961
367	6371	10942
368	6388	10924
369	6407	10910
370	6423	10891
371	6440	10871
372	6454	10850
373	6469	10828
374	6484	10806
375	6499	10785
376	6519	10772
377	6533	10751
378	6548	10729
379	6564	10709
380	6579	10690
381	6596	10671
382	6612	10652
383	6628	10632
384	6646	10616
385	6666	10604
386	6682	10584
387	6696	10563
388	6711	10541
389	6727	10522
390	6744	10504
391	6762	10488
392	6777	10468
393	6792	10448
394	6811	10432
395	6827	10413
396	6843	10394
397	6859	10375
398	6876	10357
399	6891	10337
400	6908	10320
401	6925	10302
402	6942	10284
403	6958	10265
404	6974	10246
405	6994	10232
406	7017	10225
407	7041	10216
408	7058	10200
409	7073	10179
410	7094	10167
411	7114	10154
412	7130	10134
413	7149	10119
414	7164	10100
415	7181	10081
416	7198	10063
417	7213	10043
418	7230	10025
419	7246	10006
420	7264	9991
421	7282	9974
422	7300	9958
423	7318	9942
424	7333	9921
425	7349	9903
426	7367	9886
427	7384	9869
428	7402	9852
429	7417	9833
430	7434	9814
431	7450	9796
432	7471	9783
433	7490	9769
434	7508	9752
435	7528	9738
436	7546	9721
437	7563	9704
438	7585	9693
439	7603	9677
440	7623	9663
441	7640	9645
442	7656	9627
443	7674	9610
444	7689	9590
445	7706	9572
446	7724	9556
447	7744	9542
448	7762	9526
449	7808	9543
450	7825	9526
451	7841	9506
452	7857	9488
453	7876	9473
454	7892	9453
455	7910	9437
456	7927	9418
457	7945	9403
458	7963	9385
459	7977	9365
460	7993	9345
461	8010	9328
462	8028	9311
463	8046	9295
464	8065	9279
465	8081	9260
466	8098	9243
467	8115	9225
468	8130	9205
469	8146	9186
470	8164	9169
471	8181	9152
472	8198	9134
473	8215	9117
474	8235	9102
475	8252	9084
476	8270	9067
477	8293	9057
478	8311	9039
479	8328	9022
480	8346	9005
481	8362	8986
482	8380	8970
483	8397	8953
484	8414	8935
485	8432	8918
486	8449	8900
487	8467	8883
488	8484	8866
489	8501	8848
490	8519	8831
491	8536	8814
492	8553	8796
493	8572	8780
494	8588	8762
495	8605	8744
496	8625	8729
497	8645	8715
498	8665	8700
499	8679	8679
500	8707	8672
501	8723	8653
502	8740	8635
503	8757	8618
504	8775	8601
505	8791	8583
506	8807	8564
507	8823	8545
508	8839	8526
509	8853	8506
510	8868	8486
511	8880	8464
512	8896	8445
513	8911	8425
514	8927	8407
515	8942	8387
516	8958	8369
517	8974	8350
518	8993	8335
519	9015	8321
520	9035	8306
521	9059	8295
522	9083	8284
523	9108	8274
524	9137	8267
525	9158	8252
526	9180	8240
527	9202	8226
528	9222	8211
529	9243	8197
530	9265	8183
531	9285	8168
532	9305	8153
533	9325	8138
534	9347	8124
535	9372	8113
536	9398	8103
537	9418	8087
538	9438	8072
539	9459	8057
540	9479	8042
541	9499	8027
542	9522	8014
543	9544	8000
544	9564	7984
545	9585	7969
546	9605	7954
547	9629	7942
548	9651	7928
549	9680	7920
550	9702	7905
551	9728	7895
552	9766	7894
553	9803	7892
554	9831	7882
555	9860	7874
556	9886	7863
557	9914	7853
558	9941	7843
559	9973	7836
560	9992	7819
561	10012	7803
562	10035	7789
563	10056	7774
564	10075	7757
565	10096	7741
566	10118	7727
567	10145	7716
568	10174	7707
569	10196	7692
570	10218	7677
571	10296	7704
572	10324	7693
573	10341	7675
574	10362	7659
575	10381	7641
576	10399	7624
577	10418	7606
578	10440	7591
579	10457	7572
580	10472	7552
581	10488	7532
582	10505	7514
583	10522	7495
584	10537	7475
585	10552	7454
586	10567	7435
587	10584	7416
588	10604	7399
589	10621	7380
590	10641	7364
591	10665	7350
592	10684	7333
593	10706	7318
594	10729	7302
595	10752	7288
596	10774	7273
597	10797	7258
598	10820	7243
599	10839	7226
600	10865	7213
601	10883	7195
602	10902	7177
603	10922	7161
604	10942	7144
605	10963	7127
606	10982	7110
607	11000	7092
608	11017	7073
609	11035	7055
610	11053	7037
611	11072	7019
612	11093	7003
613	11114	6986
614	11134	6970
615	11153	6952
616	11176	6937
617	11197	6921
618	11218	6904
619	11236	6886
620	11254	6868
621	11276	6852
622	11293	6834
623	11309	6814
624	11325	6795
625	11342	6776
626	11361	6758
627	11379	6740
628	11395	6721
629	11413	6702
630	11428	6683
631	11443	6663
632	11457	6642
633	11472	6623
634	11487	6602
635	11501	6582
636	11515	6562
637	11529	6542
638	11544	6521
639	11559	6502
640	11574	6482
641	11589	6462
642	11605	6443
643	11619	6423
644	11634	6403
645	11648	6383
646	11661	6362
647	11677	6343
648	11692	6323
649	11707	6304
650	11723	6285
651	11739	6265
652	11754	6246
653	11770	6227
654	11786	6207
655	11801	6188
656	11815	6168
657	11830	6148
658	11844	6129
659	11857	6108
660	11872	6088
661	11886	6069
662	11900	6049
663	11915	6029
664	11929	6009
665	11943	5989
666	11957	5969
667	11971	5950
668	11986	5930
669	12001	5911
670	12015	5891
671	12029	5871
672	12044	5852
673	12059	5832
674	12072	5812
675	12087	5793
676	12102	5774
677	12117	5754
678	12132	5735
679	12147	5716
680	12162	5697
681	12181	5680
682	12199	5662
683	12216	5644
684	12233	5625
685	12253	5608
686	12273	5591
687	12290	5573
688	12306	5554
689	12322	5536
690	12341	5518
691	12359	5500
692	12378	5483
693	12397	5466
694	12415	5448
695	12433	5430
696	12450	5412
697	12466	5393
698	12482	5375
699	12502	5358
700	12519	5339
701	12536	5321
702	12556	5304
703	12578	5288
704	12599	5272
705	12617	5254
706	12634	5236
707	12652	5218
708	12671	5200
709	12691	5183
710	12711	5166
711	12733	5150
712	12747	5131
713	12764	5112
714	12781	5094
715	12795	5075
716	12811	5056
717	12829	5038
718	12845	5020
719	12860	5001
720	12876	4982
721	12894	4964
722	12909	4946
723	12926	4927
724	12942	4909
725	12958	4890
726	12976	4873
727	12995	4855
728	13013	4837
729	13029	4819
730	13046	4800
731	13062	4782
732	13076	4763
733	13091	4744
734	13106	4725
735	13122	4706
736	13137	4688
737	13154	4670
738	13171	4652
739	13189	4634
740	13206	4615
741	13225	4598
742	13240	4579
743	13261	4563
744	13280	4545
745	13297	4527
746	13313	4508
747	13331	4491
748	13348	4473
749	13368	4456
750	13385	4438
751	13401	4419
752	13418	4401
753	13444	4386
754	13464	4369
755	13480	4350
756	13495	4332
757	13511	4313
758	13529	4296
759	13546	4277
760	13562	4259
761	13581	4242
762	13599	4224
763	13629	4210
764	13648	4192
765	13663	4173
766	13685	4157
767	13699	4138
768	13718	4120
769	13733	4102
770	13749	4083
771	13768	4066
772	13783	4047
773	13810	4032
774	13824	4013
775	13838	3994
776	13852	3975
777	13870	3957
778	13885	3939
779	13901	3920
780	13918	3902
781	13932	3884
782	13947	3865
783	13970	3848
784	13992	3832
785	14010	3814
786	14033	3798
787	14049	3779
788	14064	3761
789	14080	3742
790	14096	3724
791	14112	3706
792	14130	3688
793	14146	3670
794	14164	3652
795	14181	3634
796	14197	3616
797	14214	3598
798	14228	3579
799	14242	3560
800	14256	3541
801	14274	3524
802	14290	3505
803	14306	3487
804	14321	3469
805	14336	3450
806	14352	3432
807	14369	3414
808	14384	3396
809	14399	3377
810	14415	3359
811	14434	3341
812	14448	3323
813	14467	3305
814	14484	3287
815	14503	3270
816	14545	3257
817	14595	3247
818	14641	3235
819	14683	3223
820	14729	3211
821	14769	3198
822	14816	3186
823	14854	3172
824	14890	3158
825	14928	3144
826	14964	3130
827	15004	3116
828	15057	3106
829	15080	3088
830	15099	3070
831	15166	3062
832	15226	3052
833	15244	3034
834	15260	3015
835	15277	2996
836	15297	2979
837	15315	2960
838	15336	2942
839	15353	2924
840	15378	2907
841	15400	2889
842	15424	2872
843	15447	2855
844	15473	2838
845	15494	2820
846	15513	2802
847	15540	2785
848	15560	2767
849	15578	2749
850	15596	2730
851	15619	2713
852	15642	2695
853	15659	2677
854	15682	2659
855	15704	2641
856	15722	2623
857	15740	2605
858	15758	2586
859	15776	2568
860	15792	2549
861	15810	2531
862	15826	2512
863	15843	2493
864	15859	2475
865	15877	2456
866	15895	2438
867	15914	2420
868	15931	2401
869	15945	2382
870	15958	2363
871	15973	2344
872	15990	2326
873	16005	2307
874	16022	2288
875	16039	2270
876	16055	2251
877	16072	2233
878	16088	2214
879	16104	2196
880	16121	2177
881	16140	2159
882	16155	2140
883	16171	2122
884	16188	2103
885	16204	2084
886	16220	2066
887	16235	2047
888	16251	2029
889	16267	2010
890	16284	1992
891	16299	1973
892	16315	1954
893	16334	1936
894	16351	1918
895	16366	1899
896	16384	1881
897	16401	1862
898	16418	1844
899	16432	1825
900	16447	1807
901	16462	1788
902	16478	1770
903	16495	1751
904	16511	1733
905	16528	1714
906	16545	1696
907	16560	1677
908	16573	1659
909	16588	1640
910	16603	1622
911	16620	1603
912	16632	1584
913	16648	1566
914	16662	1547
915	16677	1529
916	16693	1510
917	16708	1492
918	16722	1473
919	16738	1455
920	16752	1436
921	16768	1418
922	16781	1399
923	16793	1381
924	16806	1362
925	16819	1344
926	16832	1325
927	16845	1307
928	16858	1288
929	16871	1269
930	16884	1251
931	16898	1232
932	16912	1214
933	16924	1195
934	16938	1177
935	16952	1159
936	16965	1140
937	16977	1122
938	16990	1103
939	17003	1085
940	17017	1066
941	17029	1048
942	17041	1030
943	17053	1011
944	17066	993
945	17079	974
946	17092	956
947	17105	938
948	17118	919
949	17133	901
950	17148	883
951	17161	865
952	17175	847
953	17189	828
954	17201	810
955	17214	792
956	17226	774
957	17238	755
958	17250	737
959	17263	719
960	17276	701
961	17291	683
962	17306	664
963	17321	646
964	17335	628
965	17350	610
966	17364	592
967	17379	574
968	17393	556
969	17406	538
970	17419	520
971	17432	502
972	17445	484
973	17459	466
974	17472	448
975	17486	429
976	17498	411
977	17512	393
978	17525	375
979	17539	357
980	17552	339
981	17564	321
982	17576	303
983	17590	286
984	17604	268
985	17618	250
986	17629	232
987	17642	214
988	17656	196
989	17668	178
990	17681	160
991	17694	142
992	17705	124
993	17718	106
994	17731	89
995	17742	71
996	17754	53
997	17766	35
998	17778	17
999	17791	0
